"human_gene_symbol"	"human_entrez_ID"	"mouse_gene_symbol"	"mouse_entrez_ID"
"ICA1L"	"   130026"	"Ica1l"	"    70375"
"CDAN1"	"   146059"	"Cdan1"	"    68968"
"OSGIN1"	"    29948"	"Osgin1"	"    71839"
"GRIP2"	"    80852"	"Grip2"	"   243547"
"PPP1R3F"	"    89801"	"Ppp1r3f"	"    54646"
"SOCS7"	"    30837"	"Socs7"	"   192157"
"PKHD1L1"	"    93035"	"Pkhd1l1"	"   192190"
"MAGEE2"	"   139599"	"Magee2"	"   272790"
"MIPOL1"	"   145282"	"Mipol1"	"    73490"
"PLEKHG2"	"    64857"	"Plekhg2"	"   101497"
"CCDC126"	"    90693"	"Ccdc126"	"    57895"
"R3HDM4"	"    91300"	"R3hdm4"	"   109284"
"TEX30"	"    93081"	"Tex30"	"    75623"
"ZNF653"	"   115950"	"Zfp653"	"   319601"
"GINM1"	"   116254"	"Ginm1"	"   215751"
"C11orf74"	"   119710"	"B230118H07Rik"	"    68170"
"PLD4"	"   122618"	"Pld4"	"   104759"
"ANKRD54"	"   129138"	"Ankrd54"	"   223690"
"CCDC148"	"   130940"	"Ccdc148"	"   227933"
"SPDYA"	"   245711"	"Spdya"	"    70891"
"CABP7"	"   164633"	"Cabp7"	"   192650"
"RASSF3"	"   283349"	"Rassf3"	"   192678"
"ADAMTS13"	"    11093"	"Adamts13"	"   279028"
"BLOC1S5"	"    63915"	"Bloc1s5"	"    17828"
"TPCN2"	"   219931"	"Tpcn2"	"   233979"
"PHRF1"	"    57661"	"Phrf1"	"   101471"
"TMEM150A"	"   129303"	"Tmem150a"	"   232086"
"ADAMTS14"	"   140766"	"Adamts14"	"   237360"
"DPP9"	"    91039"	"Dpp9"	"   224897"
"DEPDC7"	"    91614"	"Depdc7"	"   211896"
"ALKBH3"	"   221120"	"Alkbh3"	"    69113"
"OTOS"	"   150677"	"Otos"	"   260301"
"STXBP5"	"   134957"	"Stxbp5"	"    78808"
"TSTD2"	"   158427"	"Tstd2"	"   272027"
"LGI4"	"   163175"	"Lgi4"	"   243914"
"CDC26"	"   246184"	"Cdc26"	"    66440"
"NBEAL1"	"    65065"	"Nbeal1"	"   269198"
"SLC66A3"	"   130814"	"Pqlc3"	"   217430"
"FBXO33"	"   254170"	"Fbxo33"	"    70611"
"ATXN2L"	"    11273"	"Atxn2l"	"   233871"
"FBF1"	"    85302"	"Fbf1"	"   217335"
"GPR155"	"   151556"	"Gpr155"	"    68526"
"METTL22"	"    79091"	"Mettl22"	"   239706"
"STOML3"	"   161003"	"Stoml3"	"   229277"
"MORN4"	"   118812"	"Morn4"	"   226123"
"ELMOD2"	"   255520"	"Elmod2"	"   244548"
"TMEM192"	"   201931"	"Tmem192"	"    73067"
"BRAT1"	"   221927"	"Brat1"	"   231841"
"RCCD1"	"    91433"	"Rccd1"	"   269955"
"UBLCP1"	"   134510"	"Ublcp1"	"    79560"
"CROCC"	"     9696"	"Crocc"	"   230872"
"GXYLT2"	"   727936"	"Gxylt2"	"   232313"
"ZFAT"	"    57623"	"Zfat"	"   380993"
"NOP16"	"    51491"	"Nop16"	"    28126"
"MEX3D"	"   399664"	"Mex3d"	"   237400"
"METTL26"	"    84326"	"Mettl26"	"    68347"
"IL23R"	"   149233"	"Il23r"	"   209590"
"SPICE1"	"   152185"	"Spice1"	"   212514"
"ANGEL2"	"    90806"	"Angel2"	"    52477"
"SFXN5"	"    94097"	"Sfxn5"	"    94282"
"ZFYVE27"	"   118813"	"Zfyve27"	"   319740"
"BORCS7"	"   119032"	"Borcs7"	"    66439"
"GTSF1"	"   121355"	"Gtsf1"	"    74174"
"SLAIN1"	"   122060"	"Slain1"	"   105439"
"LRRC28"	"   123355"	"Lrrc28"	"    67867"
"HEXIM2"	"   124790"	"Hexim2"	"    71059"
"COX6B2"	"   125965"	"Cox6b2"	"   333182"
"TMEM125"	"   128218"	"Tmem125"	"   230678"
"TSACC"	"   128229"	"Tsacc"	"    76927"
"RFTN2"	"   130132"	"Rftn2"	"    74013"
"ZNF513"	"   130557"	"Zfp513"	"   101023"
"JCHAIN"	"     3512"	"Jchain"	"    16069"
"CAPSL"	"   133690"	"Capsl"	"    75568"
"WDR66"	"   144406"	"Wdr66"	"   269701"
"GLT1D1"	"   144423"	"Glt1d1"	"   319804"
"TMC4"	"   147798"	"Tmc4"	"   353499"
"NLRP12"	"    91662"	"Nlrp12"	"   378425"
"ANKRD35"	"   148741"	"Ankrd35"	"   213121"
"PP2D1"	"   151649"	"Pp2d1"	"   110332"
"CRYGN"	"   155051"	"Crygn"	"   214301"
"GPSM1"	"    26086"	"Gpsm1"	"    67839"
"RBM11"	"    54033"	"Rbm11"	"   224344"
"SMCR8"	"   140775"	"Smcr8"	"   237782"
"METRNL"	"   284207"	"Metrnl"	"   210029"
"TMEM106A"	"   113277"	"Tmem106a"	"   217203"
"ZMYM5"	"     9205"	"Zmym5"	"   219105"
"PCNX3"	"   399909"	"Pcnx3"	"   104401"
"UHRF2"	"   115426"	"Uhrf2"	"   109113"
"MAVS"	"    57506"	"Mavs"	"   228607"
"TMEM268"	"   203197"	"Tmem268"	"   230279"
"RAD9B"	"   144715"	"Rad9b"	"   231724"
"MAP7D1"	"    55700"	"Map7d1"	"   245877"
"TTC16"	"   158248"	"Ttc16"	"   338348"
"CXorf38"	"   159013"	"1810030O07Rik"	"    69155"
"ZFC3H1"	"   196441"	"Zfc3h1"	"   216345"
"LRRC45"	"   201255"	"Lrrc45"	"   217366"
"ENKUR"	"   219670"	"Enkur"	"    71233"
"C6orf136"	"   221545"	"2310061I04Rik"	"    69662"
"TOR1AIP2"	"   163590"	"Tor1aip2"	"   240832"
"NXPE3"	"    91775"	"Nxpe3"	"   385658"
"C18orf25"	"   147339"	"8030462N17Rik"	"   212163"
"OARD1"	"   221443"	"Oard1"	"   106821"
"STAC3"	"   246329"	"Stac3"	"   237611"
"CHURC1"	"    91612"	"Churc1"	"   211151"
"B3GNT7"	"    93010"	"B3gnt7"	"   227327"
"UBALD1"	"   124402"	"Ubald1"	"   207740"
"CCSAP"	"   126731"	"Ccsap"	"    73420"
"ZNF688"	"   146542"	"Zfp688"	"    69234"
"CD300LG"	"   146894"	"Cd300lg"	"    52685"
"NKX2-3"	"   159296"	"Nkx2-3"	"    18089"
"CADM4"	"   199731"	"Cadm4"	"   260299"
"RTKN2"	"   219790"	"Rtkn2"	"   170799"
"RASGEF1A"	"   221002"	"Rasgef1a"	"    70727"
"ZBTB7C"	"   201501"	"Zbtb7c"	"   207259"
"UBXN2A"	"   165324"	"Ubxn2a"	"   217379"
"SHISA2"	"   387914"	"Shisa2"	"   219134"
"SLC5A9"	"   200010"	"Slc5a9"	"   230612"
"MYPOP"	"   339344"	"Mypop"	"   232934"
"SBK1"	"   388228"	"Sbk1"	"   104175"
"IL27"	"   246778"	"Il27"	"   246779"
"TBC1D31"	"    93594"	"Tbc1d31"	"   210544"
"PIM2"	"    11040"	"Pim2"	"    18715"
"PHLDB2"	"    90102"	"Phldb2"	"   208177"
"CD3EAP"	"    10849"	"Cd3eap"	"    70333"
"IL17RE"	"   132014"	"Il17re"	"    57890"
"DMRT2"	"    10655"	"Dmrt2"	"   226049"
"ST8SIA6"	"   338596"	"St8sia6"	"   241230"
"RGS9BP"	"   388531"	"Rgs9bp"	"   243923"
"IL17F"	"   112744"	"Il17f"	"   257630"
"EVC2"	"   132884"	"Evc2"	"    68525"
"ENOX2"	"    10495"	"Enox2"	"   209224"
"KBTBD2"	"    25948"	"Kbtbd2"	"   210973"
"N4BP3"	"    23138"	"N4bp3"	"   212706"
"TCP11L2"	"   255394"	"Tcp11l2"	"   216198"
"SAMD14"	"   201191"	"Samd14"	"   217125"
"STAC2"	"   342667"	"Stac2"	"   217154"
"PRR5"	"    55615"	"Prr5"	"   109270"
"NRROS"	"   375387"	"Nrros"	"   224109"
"LEMD2"	"   221496"	"Lemd2"	"   224640"
"CNST"	"   163882"	"Cnst"	"   226744"
"TOR4A"	"    54863"	"Tor4a"	"   227612"
"DENND1A"	"    57706"	"Dennd1a"	"   227801"
"AHDC1"	"    27245"	"Ahdc1"	"   230793"
"TMEM119"	"   338773"	"Tmem119"	"   231633"
"ZNF280D"	"    54816"	"Zfp280d"	"   235469"
"ALS2CL"	"   259173"	"Als2cl"	"   235633"
"TMIE"	"   259236"	"Tmie"	"    20776"
"FAM199X"	"   139231"	"Fam199x"	"   245622"
"OR2Z1"	"   284383"	"Olfr372"	"   404315"
"OR2Z1"	"   284383"	"Olfr373"	"   258532"
"OR6P1"	"   128366"	"Olfr414"	"   258756"
"OR2K2"	"    26248"	"Olfr267"	"   258922"
"OR1N2"	"   138882"	"Olfr354"	"   258941"
"OR51S1"	"   119692"	"Olfr571"	"   259089"
"OR52R1"	"   119695"	"Olfr569"	"   259092"
"FAM110B"	"    90362"	"Fam110b"	"   242297"
"FBXO17"	"   115290"	"Fbxo17"	"    50760"
"TPGS1"	"    91978"	"Tpgs1"	"   110012"
"TMEM263"	"    90488"	"Tmem263"	"   103266"
"FAAP24"	"    91442"	"Faap24"	"   101831"
"RMI2"	"   116028"	"Rmi2"	"   223970"
"ARL14EP"	"   120534"	"Arl14ep"	"   212772"
"C12orf45"	"   121053"	"D10Wsu102e"	"    28109"
"ANKRD9"	"   122416"	"Ankrd9"	"    74251"
"AGBL1"	"   123624"	"Agbl1"	"   244071"
"SLC43A2"	"   124935"	"Slc43a2"	"   215113"
"KRT222"	"   125113"	"Krt222"	"   268481"
"CLDND2"	"   125875"	"Cldnd2"	"    74276"
"CPT1C"	"   126129"	"Cpt1c"	"    78070"
"ANKLE1"	"   126549"	"Ankle1"	"   234396"
"C1orf216"	"   127703"	"5730409E04Rik"	"   230757"
"TMEM237"	"    65062"	"Tmem237"	"   381259"
"KLHL40"	"   131377"	"Klhl40"	"    72330"
"C5orf24"	"   134553"	"B230219D22Rik"	"    78521"
"PTPDC1"	"   138639"	"Ptpdc1"	"   218232"
"C12orf66"	"   144577"	"BC048403"	"   270802"
"FAM161B"	"   145483"	"Fam161b"	"   217705"
"ZSCAN29"	"   146050"	"Zscan29"	"    99334"
"C1orf74"	"   148304"	"A130010J15Rik"	"   319266"
"B3GALNT2"	"   148789"	"B3galnt2"	"    97884"
"COMMD1"	"   150684"	"Commd1"	"    17846"
"ZNF385B"	"   151126"	"Zfp385b"	"   241494"
"WDSUB1"	"   151525"	"Wdsub1"	"    72137"
"XXYLT1"	"   152002"	"Xxylt1"	"   268880"
"CCDC112"	"   153733"	"Ccdc112"	"   240261"
"AK8"	"   158067"	"Ak8"	"    68870"
"SYNE3"	"   161176"	"Syne3"	"   212073"
"EXD1"	"   161829"	"Exd1"	"   241624"
"ZNF579"	"   163033"	"Zfp579"	"    68490"
"LRRN4"	"   164312"	"Lrrn4"	"   320974"
"BBS12"	"   166379"	"Bbs12"	"   241950"
"SENP5"	"   205564"	"Senp5"	"   320213"
"TBATA"	"   219793"	"Tbata"	"    65971"
"BEND7"	"   222389"	"Bend7"	"   209645"
"TAB3"	"   257397"	"Tab3"	"    66724"
"USP45"	"    85015"	"Usp45"	"    77593"
"LRWD1"	"   222229"	"Lrwd1"	"    71735"
"STEAP2"	"   261729"	"Steap2"	"    74051"
"PRICKLE1"	"   144165"	"Prickle1"	"   106042"
"KCTD7"	"   154881"	"Kctd7"	"   212919"
"THTPA"	"    79178"	"Thtpa"	"   105663"
"PADI6"	"   353238"	"Padi6"	"   242726"
"IRGQ"	"   126298"	"Irgq"	"   210146"
"KCTD11"	"   147040"	"Kctd11"	"   216858"
"KLHL15"	"    80311"	"Klhl15"	"   236904"
"KANK1"	"    23189"	"Kank1"	"   107351"
"JAML"	"   120425"	"Jaml"	"   270152"
"KIF19"	"   124602"	"Kif19a"	"   286942"
"LACC1"	"   144811"	"Lacc1"	"   210808"
"CILP2"	"   148113"	"Cilp2"	"    68709"
"SYT14"	"   255928"	"Syt14"	"   329324"
"MAMDC2"	"   256691"	"Mamdc2"	"    71738"
"NPW"	"   283869"	"Npw"	"   381073"
"ATXN7L2"	"   127002"	"Atxn7l2"	"    72522"
"FBXW8"	"    26259"	"Fbxw8"	"   231672"
"PRSS35"	"   167681"	"Prss35"	"   244954"
"LNX2"	"   222484"	"Lnx2"	"   140887"
"TTC39A"	"    22996"	"Ttc39a"	"   230603"
"TUBE1"	"    51175"	"Tube1"	"    71924"
"MDGA1"	"   266727"	"Mdga1"	"    74762"
"INO80E"	"   283899"	"Ino80e"	"   233875"
"TMEM17"	"   200728"	"Tmem17"	"   103765"
"FAM43A"	"   131583"	"Fam43a"	"   224093"
"HTRA4"	"   203100"	"Htra4"	"   330723"
"ZNF367"	"   195828"	"Zfp367"	"   238673"
"PODN"	"   127435"	"Podn"	"   242608"
"DPM3"	"    54344"	"Dpm3"	"    68563"
"FNDC5"	"   252995"	"Fndc5"	"   384061"
"SCARF2"	"    91179"	"Scarf2"	"   224024"
"RELL2"	"   285613"	"Rell2"	"   225392"
"CACUL1"	"   143384"	"Cacul1"	"    78832"
"PHF13"	"   148479"	"Phf13"	"   230936"
"SNX14"	"    57231"	"Snx14"	"   244962"
"ADGRF3"	"   165082"	"Adgrf3"	"   381628"
"CREG2"	"   200407"	"Creg2"	"   263764"
"ADGRG5"	"   221188"	"Adgrg5"	"   382045"
"ANKRD29"	"   147463"	"Ankrd29"	"   225187"
"ZDHHC23"	"   254887"	"Zdhhc23"	"   332175"
"PPP1R37"	"   284352"	"Ppp1r37"	"   232947"
"FAM151B"	"   167555"	"Fam151b"	"    73942"
"PRICKLE2"	"   166336"	"Prickle2"	"   243548"
"SBSN"	"   374897"	"Sbsn"	"   282619"
"RASGEF1C"	"   255426"	"Rasgef1c"	"    74563"
"NDUFA11"	"   126328"	"Ndufa11"	"    69875"
"NAA30"	"   122830"	"Naa30"	"    70646"
"PPP4R2"	"   151987"	"Ppp4r2"	"   232314"
"LRP4"	"     4038"	"Lrp4"	"   228357"
"CPEB2"	"   132864"	"Cpeb2"	"   231207"
"ZMIZ2"	"    83637"	"Zmiz2"	"    52915"
"BICDL1"	"    92558"	"Bicdl1"	"    75665"
"TMEM209"	"    84928"	"Tmem209"	"    72649"
"CCDC58"	"   131076"	"Ccdc58"	"   381045"
"EMC10"	"   284361"	"Emc10"	"    69683"
"TBRG1"	"    84897"	"Tbrg1"	"    21376"
"ADGRG3"	"   222487"	"Adgrg3"	"    54672"
"SLC38A9"	"   153129"	"Slc38a9"	"   268706"
"CD300E"	"   342510"	"Cd300e"	"   217306"
"EVA1B"	"    55194"	"Eva1b"	"   230752"
"LCOR"	"    84458"	"Lcor"	"   212391"
"KLHDC1"	"   122773"	"Klhdc1"	"   271005"
"IL16"	"     3603"	"Il16"	"    16170"
"CC2D2A"	"    57545"	"Cc2d2a"	"   231214"
"JADE1"	"    79960"	"Jade1"	"   269424"
"THSD7B"	"    80731"	"Thsd7b"	"   210417"
"DCAF15"	"    90379"	"Dcaf15"	"   212123"
"ZSWIM4"	"    65249"	"Zswim4"	"   212168"
"FAM126B"	"   285172"	"Fam126b"	"   213056"
"SHE"	"   126669"	"She"	"   214547"
"CNKSR3"	"   154043"	"Cnksr3"	"   215748"
"YBEY"	"    54059"	"Ybey"	"   216119"
"UNK"	"    85451"	"Unk"	"   217331"
"LARP4B"	"    23185"	"Larp4b"	"   217980"
"MIER3"	"   166968"	"Mier3"	"   218613"
"TXNDC16"	"    57544"	"Txndc16"	"    70561"
"GRAMD4"	"    23151"	"Gramd4"	"   223752"
"AMBRA1"	"    55626"	"Ambra1"	"   228361"
"MEGF9"	"     1955"	"Megf9"	"   230316"
"LIN54"	"   132660"	"Lin54"	"   231506"
"AP5Z1"	"     9907"	"Ap5z1"	"   231855"
"FAM221A"	"   340277"	"Fam221a"	"   231946"
"CREB5"	"     9586"	"Creb5"	"   231991"
"HIRIP3"	"     8479"	"Hirip3"	"   233876"
"ZBTB44"	"    29068"	"Zbtb44"	"   235132"
"VWA5A"	"     4013"	"Vwa5a"	"    67776"
"GRAMD1B"	"    57476"	"Gramd1b"	"   235283"
"ZC3H12D"	"   340152"	"Zc3h12d"	"   237256"
"L3MBTL3"	"    84456"	"L3mbtl3"	"   237339"
"ANKRD52"	"   283373"	"Ankrd52"	"   237615"
"RSPO2"	"   340419"	"Rspo2"	"   239405"
"DACT2"	"   168002"	"Dact2"	"   240025"
"ZNF697"	"    90874"	"Zfp697"	"   242109"
"BNC2"	"    54796"	"Bnc2"	"   242509"
"KANK4"	"   163782"	"Kank4"	"   242553"
"LRRD1"	"   401387"	"Lrrd1"	"   242838"
"FSD2"	"   123722"	"Fsd2"	"   244091"
"PRAG1"	"   157285"	"Prag1"	"   244418"
"PEAK1"	"    79834"	"Peak1"	"   244895"
"COL6A6"	"   131873"	"Col6a6"	"   245026"
"SCML4"	"   256380"	"Scml4"	"   268297"
"ARHGAP28"	"    79822"	"Arhgap28"	"   268970"
"AQP11"	"   282679"	"Aqp11"	"    66333"
"DLGAP3"	"    58512"	"Dlgap3"	"   242667"
"RFESD"	"   317671"	"Rfesd"	"   218341"
"XKR6"	"   286046"	"Xkr6"	"   219149"
"AMZ1"	"   155185"	"Amz1"	"   231842"
"JAZF1"	"   221895"	"Jazf1"	"   231986"
"RPGRIP1L"	"    23322"	"Rpgrip1l"	"   244585"
"TMEM171"	"   134285"	"Tmem171"	"   380863"
"PTCHD1"	"   139411"	"Ptchd1"	"   211612"
"PRSS36"	"   146547"	"Prss36"	"    77613"
"FAM117B"	"   150864"	"Fam117b"	"    72750"
"VKORC1L1"	"   154807"	"Vkorc1l1"	"    69568"
"MCMDC2"	"   157777"	"Mcmdc2"	"   240697"
"FUT11"	"   170384"	"Fut11"	"    73068"
"RNF152"	"   220441"	"Rnf152"	"   320311"
"UNC5CL"	"   222643"	"Unc5cl"	"    76589"
"NYAP1"	"   222950"	"Nyap1"	"   243300"
"RSPH10B"	"   222967"	"Rsph10b"	"    75136"
"TERB1"	"   283847"	"Terb1"	"   320022"
"RNF149"	"   284996"	"Rnf149"	"    67702"
"STPG4"	"   285051"	"Stpg4"	"    75467"
"RPUSD3"	"   285367"	"Rpusd3"	"   101122"
"ARHGEF15"	"    22899"	"Arhgef15"	"   442801"
"NEMP1"	"    23306"	"Nemp1"	"   210035"
"GALNT18"	"   374378"	"Galnt18"	"   233733"
"TIGIT"	"   201633"	"Tigit"	"100043314"
"TTC9C"	"   283237"	"Ttc9c"	"    70387"
"ZNF707"	"   286075"	"Zfp707"	"    69020"
"C2CD2"	"    25966"	"C2cd2"	"   207781"
"MIGA1"	"   374986"	"Miga1"	"   215708"
"NDUFAF2"	"    91942"	"Ndufaf2"	"    75597"
"ZFAND4"	"    93550"	"Zfand4"	"    67492"
"CD300LB"	"   124599"	"Cd300lb"	"   217304"
"LDLRAD3"	"   143458"	"Ldlrad3"	"   241576"
"BPIFC"	"   254240"	"Bpifc"	"   270757"
"SCN4B"	"     6330"	"Scn4b"	"   399548"
"GAS2L3"	"   283431"	"Gas2l3"	"   237436"
"FAM168B"	"   130074"	"Fam168b"	"   214469"
"ALKBH2"	"   121642"	"Alkbh2"	"   231642"
"TCTEX1D4"	"   343521"	"Tctex1d4"	"   242646"
"SLC24A5"	"   283652"	"Slc24a5"	"   317750"
"MDFIC"	"    29969"	"Mdfic"	"    16543"
"TNKS"	"     8658"	"Tnks"	"    21951"
"RPS19BP1"	"    91582"	"Rps19bp1"	"    66538"
"C12orf29"	"    91298"	"4930430F08Rik"	"    68281"
"THAP3"	"    90326"	"Thap3"	"    69876"
"STOX2"	"    56977"	"Stox2"	"    71069"
"PROX2"	"   283571"	"Prox2"	"    73422"
"HSPA12A"	"   259217"	"Hspa12a"	"    73442"
"HECTD3"	"    79654"	"Hectd3"	"    76608"
"SHISA4"	"   149345"	"Shisa4"	"    77552"
"TTYH3"	"    80727"	"Ttyh3"	"    78339"
"C1orf174"	"   339448"	"A430005L14Rik"	"    97159"
"NHLRC1"	"   378884"	"Nhlrc1"	"   105193"
"CDCA2"	"   157313"	"Cdca2"	"   108912"
"ZNF526"	"   116115"	"Zfp526"	"   210172"
"FAM78B"	"   149297"	"Fam78b"	"   226610"
"GPR150"	"   285601"	"Gpr150"	"   238725"
"PLEKHM3"	"   389072"	"Plekhm3"	"   241075"
"ZNF804A"	"    91752"	"Zfp804a"	"   241514"
"FAM171B"	"   165215"	"Fam171b"	"   241520"
"LENG9"	"    94059"	"Leng9"	"   243813"
"FBXO46"	"    23403"	"Fbxo46"	"   243867"
"NLRP10"	"   338322"	"Nlrp10"	"   244202"
"MRGPRE"	"   116534"	"Mrgpre"	"   244238"
"CAGE1"	"   285782"	"Cage1"	"    71213"
"ZNF608"	"    57507"	"Zfp608"	"   269023"
"SWSAP1"	"   126074"	"Swsap1"	"    66962"
"SOWAHA"	"   134548"	"Sowaha"	"   237761"
"C16orf54"	"   283897"	"AI467606"	"   101602"
"ZNF800"	"   168850"	"Zfp800"	"   627049"
"NR2C2AP"	"   126382"	"Nr2c2ap"	"    75692"
"PPM1H"	"    57460"	"Ppm1h"	"   319468"
"FBXO48"	"   554251"	"Fbxo48"	"   319701"
"FSTL4"	"    23105"	"Fstl4"	"   320027"
"OLFML2B"	"    25903"	"Olfml2b"	"   320078"
"FNDC7"	"   163479"	"Fndc7"	"   320181"
"RINL"	"   126432"	"Rinl"	"   320435"
"CCDC158"	"   339965"	"Ccdc158"	"   320696"
"DCAF5"	"     8816"	"Dcaf5"	"   320808"
"ITGB8"	"     3696"	"Itgb8"	"   320910"
"MAP7D3"	"    79649"	"Map7d3"	"   320923"
"GPR157"	"    80045"	"Gpr157"	"   269604"
"TMEM220"	"   388335"	"Tmem220"	"   338369"
"TMUB2"	"    79089"	"Tmub2"	"    72053"
"CYP20A1"	"    57404"	"Cyp20a1"	"    77951"
"VGLL4"	"     9686"	"Vgll4"	"   232334"
"BLOC1S3"	"   388552"	"Bloc1s3"	"   232946"
"RTN4RL1"	"   146760"	"Rtn4rl1"	"   237847"
"MB21D2"	"   151963"	"Mb21d2"	"   239796"
"LRRC8A"	"    56262"	"Lrrc8a"	"   241296"
"AWAT2"	"   158835"	"Awat2"	"   245532"
"CCDC60"	"   160777"	"Ccdc60"	"   269693"
"KLHL23"	"   151230"	"Klhl23"	"   277396"
"EXOC3L1"	"   283849"	"Exoc3l"	"   277978"
"TNN"	"    63923"	"Tnn"	"   329278"
"C8orf37"	"   157657"	"2610301B20Rik"	"    67157"
"UBAC2"	"   337867"	"Ubac2"	"    68889"
"FADS6"	"   283985"	"Fads6"	"   328035"
"TP53INP2"	"    58476"	"Trp53inp2"	"    68728"
"AMIGO2"	"   347902"	"Amigo2"	"   105827"
"IL22RA2"	"   116379"	"Il22ra2"	"   237310"
"FAM53A"	"   152877"	"Fam53a"	"    74504"
"SAPCD2"	"    89958"	"Sapcd2"	"    72080"
"RNF180"	"   285671"	"Rnf180"	"    71816"
"C1QTNF9B"	"   387911"	"C1qtnf9"	"   239126"
"E2F7"	"   144455"	"E2f7"	"    52679"
"TMEM108"	"    66000"	"Tmem108"	"    81907"
"CREB3L2"	"    64764"	"Creb3l2"	"   208647"
"DPY19L3"	"   147991"	"Dpy19l3"	"   233115"
"ZNF438"	"   220929"	"Zfp438"	"   240186"
"ZNF473"	"    25888"	"Zfp473"	"   243963"
"TMEM229B"	"   161145"	"Tmem229b"	"   268567"
"SPIN4"	"   139886"	"Spin4"	"   270624"
"FAM168A"	"    23201"	"Fam168a"	"   319604"
"IFFO1"	"    25900"	"Iffo1"	"   320678"
"VSTM4"	"   196740"	"Vstm4"	"   320736"
"IGSF10"	"   285313"	"Igsf10"	"   242050"
"LAYN"	"   143903"	"Layn"	"   244864"
"CERS3"	"   204219"	"Cers3"	"   545975"
"NLRC3"	"   197358"	"Nlrc3"	"   268857"
"HEPACAM2"	"   253012"	"Hepacam2"	"   101202"
"VMAC"	"   400673"	"Vmac"	"   106639"
"AFAP1L1"	"   134265"	"Afap1l1"	"   106877"
"BRWD3"	"   254065"	"Brwd3"	"   382236"
"WHRN"	"    25861"	"Whrn"	"    73750"
"COL14A1"	"     7373"	"Col14a1"	"    12818"
"MUSTN1"	"   389125"	"Mustn1"	"    66175"
"RFTN1"	"    23180"	"Rftn1"	"    76438"
"FOXK2"	"     3607"	"Foxk2"	"    68837"
"LYRM7"	"    90624"	"Lyrm7"	"    75530"
"CRTC2"	"   200186"	"Crtc2"	"    74343"
"ARHGAP30"	"   257106"	"Arhgap30"	"   226652"
"MUC6"	"     4588"	"Muc6"	"   353328"
"GPR141"	"   353345"	"Gpr141"	"   353346"
"DPY19L4"	"   286148"	"Dpy19l4"	"   381510"
"ZBTB12"	"   221527"	"Zbtb12"	"   193736"
"CHAMP1"	"   283489"	"Champ1"	"   101994"
"ZNF428"	"   126299"	"Zfp428"	"   232969"
"FAAP20"	"   199990"	"Faap20"	"    67513"
"LSMEM1"	"   286006"	"Lsmem1"	"   380755"
"SAMD7"	"   344658"	"Samd7"	"    75953"
"RFLNB"	"   359845"	"Rflnb"	"    76566"
"C1orf146"	"   388649"	"1700028K03Rik"	"    76421"
"GPR18"	"     2841"	"Gpr18"	"   110168"
"CCNB1IP1"	"    57820"	"Ccnb1ip1"	"   239083"
"ARL13B"	"   200894"	"Arl13b"	"    68146"
"ADAMTS9"	"    56999"	"Adamts9"	"   101401"
"KMT2E"	"    55904"	"Kmt2e"	"    69188"
"C11orf94"	"   143678"	"1700029I15Rik"	"    75641"
"SLFN5"	"   162394"	"Slfn5"	"   327978"
"SMCO1"	"   255798"	"Smco1"	"    69576"
"C16orf74"	"   404550"	"1190005I06Rik"	"    68918"
"MPZL3"	"   196264"	"Mpzl3"	"   319742"
"TMEM173"	"   340061"	"Tmem173"	"    72512"
"CMIP"	"    80790"	"Cmip"	"    74440"
"C3orf67"	"   200844"	"4930452B06Rik"	"    74430"
"MMS22L"	"   253714"	"Mms22l"	"   212377"
"PAQR9"	"   344838"	"Paqr9"	"    75552"
"B3GNT8"	"   374907"	"B3gnt8"	"   232984"
"FAM89A"	"   375061"	"Fam89a"	"    69627"
"C5orf34"	"   375444"	"4833420G17Rik"	"    67392"
"ZPBP2"	"   124626"	"Zpbp2"	"    69376"
"PLEKHG1"	"    57480"	"Plekhg1"	"   213783"
"UBE3D"	"    90025"	"Ube2cbp"	"    70348"
"RASAL3"	"    64926"	"Rasal3"	"   320484"
"ICE1"	"    23379"	"Ice1"	"   218333"
"CCDC88C"	"   440193"	"Ccdc88c"	"    68339"
"EFCAB12"	"    90288"	"Efcab12"	"   212516"
"GALNT16"	"    57452"	"Galnt16"	"   108760"
"ADAMTSL3"	"    57188"	"Adamtsl3"	"   269959"
"PCDH19"	"    57526"	"Pcdh19"	"   279653"
"FHDC1"	"    85462"	"Fhdc1"	"   229474"
"SECISBP2L"	"     9728"	"Secisbp2l"	"    70354"
"CAMSAP2"	"    23271"	"Camsap2"	"    67886"
"PKDCC"	"    91461"	"Pkdcc"	"   106522"
"RANBP6"	"    26953"	"Ranbp6"	"   240614"
"ARHGAP20"	"    57569"	"Arhgap20"	"   244867"
"PRUNE2"	"   158471"	"Prune2"	"   353211"
"MIER2"	"    54531"	"Mier2"	"    70427"
"CAMTA1"	"    23261"	"Camta1"	"   100072"
"KDM6B"	"    23135"	"Kdm6b"	"   216850"
"TANC1"	"    85461"	"Tanc1"	"    66860"
"DAPL1"	"    92196"	"Dapl1"	"    76747"
"BEX4"	"    56271"	"Bex4"	"   406217"
"MEX3A"	"    92312"	"Mex3a"	"    72640"
"SLAIN2"	"    57606"	"Slain2"	"    75991"
"LIMCH1"	"    22998"	"Limch1"	"    77569"
"SIPA1L2"	"    57568"	"Sipa1l2"	"   244668"
"PRR12"	"    57479"	"Prr12"	"   233210"
